Make,Model,Year,Mileage,Price,Fuel,Registration_City,Documents,Assembly,Transmission,Car_Age,Mileage_Per_Year
Mercedes,E Class,2003,120000,3600000,Petrol,Sindh,Original,Imported,Automatic,23,5000.0
Honda,City IDSI,2006,152000,1700000,Petrol,Karachi,Original,Local,Manual,20,7238.0952380952385
Hyundai,Santro,2002,100000,650000,Petrol,Sindh,Original,Local,Manual,24,4000.0
Daihatsu,Move,2021,100000,2900000,Petrol,Punjab,Original,Imported,Automatic,5,16666.666666666668
Honda,City IDSI,2001,40000,950000,Petrol,Karachi,Original,Imported,Automatic,25,1538.4615384615386
Daihatsu,Hijet,2011,150000,2300000,Petrol,Islamabad,Original,Imported,Automatic,15,9375.0
Toyota,Corolla XLI,2007,250000,1350000,Petrol,Lahore,Original,Imported,Manual,19,12500.0
Toyota,Yaris,2022,22000,5000000,Petrol,Punjab,Original,Imported,Automatic,4,4400.0
Toyota,Corrolla Altis,2010,105000,2350000,Petrol,Islamabad,Original,Local,Automatic,16,6176.470588235294
Suzuki,Cultus VXR,2005,95000,950000,Petrol,Lahore,Original,Imported,Manual,21,4318.181818181818
Honda,City Aspire,2019,60500,3950000,Petrol,Islamabad,Original,Local,Manual,7,7562.5
Suzuki,Ravi,2017,60000,1500000,Petrol,Islamabad,Original,Imported,Manual,9,6000.0
Suzuki,Swift,2013,99000,1820000,Petrol,Karachi,Original,Local,Manual,13,7071.428571428572
Suzuki,Alto,2022,7300,2815000,Petrol,Karachi,Original,Local,Automatic,4,1460.0
Mitsubishi,Lancer,2005,112233,1200000,Petrol,Karachi,Original,Imported,Manual,21,5101.5
Suzuki,Swift,2016,123000,2200000,Petrol,Lahore,Original,Imported,Manual,10,11181.818181818182
Suzuki,Baleno,2005,75000,560000,Petrol,Karachi,Duplicate,Local,Manual,21,3409.090909090909
Daihatsu,Cuore,2011,35000,1200000,Petrol,Lahore,Original,Local,Automatic,15,2187.5
Suzuki,Wagon R,2018,93575,1925000,Petrol,Lahore,Original,Imported,Manual,8,10397.222222222223
